Association,Location,Website,Success,President Email,VP Email,Treasurer Email,Notes
Niagara Falls Rapids,"Niagara Falls, ON | Girls Only",https://hockeyniagara.com,Yes,nfmha1@gmail.com,vphockey@hockeyniagara.com,nancykuusela@outlook.com,
Niagara North Stars,"St Catharines, ON",https://niagaranorthstars.ca,Yes,pauldifran11@gmail.com,vphockey@niagaranorthstars.ca,treasurer@niagaranorthstars.ca,
Niagara-On-The-Lake Wolves,"Niagara-on-the-Lake, ON",https://notlhockey.com,Yes,oflynner16@yahoo.com,gary@notlchiropractic.com,pleboudec@cogeco.ca,
Nickel City Cubs,"Val Caron, ON",https://nickelcityhockey.ca,Yes,vvilleneuve24@gmail.com,jlemieux17@gmail.com,erichardson@remax.net,
Nipigon Elks,"Nipigon, ON",,No,,,,No executive contact information found - only general OMHA contacts and Facebook post
North Bay Trappers,"North Bay, ON",https://northbaytrappers.ca,Yes,nbaaatrappers@gmail.com,,,VP and Treasurer names found but emails not publicly listed
Norfolk Hericanes,"Simcoe, ON | Girls Only",https://norfolkhericanes.com,Yes,bgillis17@live.com,tanyastravel@icloud.com,treasurer@norfolkhericanes.com,
Norfolk Knights,"Port Dover, ON",https://norfolkminorhockey.ca,Yes,President@norfolkminorhockey.ca,1stVicePresident@norfolkminorhockey.ca,Treasurer@norfolkminorhockey.ca,
North Bay Junior Lakers,"North Bay, ON | Girls Only",https://nbgha.com,Yes,vp@nbgha.com,vicepresident@nbgha.com,treasurer@nbgha.com,
North Bay Trappers AAA,"North Bay, ON",https://northbaytrappers.ca,Yes,nbaaatrappers@gmail.com,,,VP and Treasurer emails not publicly listed
North Central Predators,"Orillia, ON",https://northcentralpredators.com,Yes,president@northcentralpredators.com,vicepresident@northcentralpredators.com,treasurer@northcentralpredators.com,
North Channel Lightning,"Desbarats, ON",,No,,,,"Website connection issues - proxy errors, unable to load pages"
North Dundas Demons,"Winchester, ON",https://www.northdundasminorhockey.com,Yes,,,,Executive contact emails not publicly listed - contact form only
North Durham Blades,"Uxbridge, ON | Girls Only",https://northdurhamhockey.ca,Yes,president@northdurhamhockey.ca,vicepresident@northdurhamhockey.ca,treasurer@northdurhamhockey.ca,
North Durham Warriors,"Uxbridge, ON",https://northdurhamhockey.ca,Yes,president@northdurhamhockey.ca,vicepresident@northdurhamhockey.ca,treasurer@northdurhamhockey.ca,
North End Flames,"Thunder Bay, ON",https://pamha.ca,Yes,northend-flames@pamha.ca,,,Sub-organization under PAMHA. VP and Treasurer info not separately listed for this club.
North Halton Twisters,"Georgetown, ON | Girls Only",https://nhgha.com,Yes,president@nhgha.com,vp1@nhgha.com,treasurer@nhgha.com,Also has 2nd VP: Steve Abel (vp2@nhgha.com)
North London Nationals,"London, ON",https://northlondonhockey.ca,Yes,mbiderman17@gmail.com,jaydillman@gmail.com,treasurer@northlondonhockey.ca,
North Middlesex Jr Stars,"Parkhill, ON",https://northmiddlesexhockey.com,Yes,dustin.bayliss@icloud.com,mike@glpinc.ca,ageiger@glpinc.ca,
North Shore Whitecaps,"Bowmanville, ON",https://whitecapsaaahockey.com,Yes,president@whitecapsaaahockey.com,info@whitecapsaaahockey.com,treasurer@whitecapsaaahockey.com,
